F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
10609	FF:10609-108F6	CNhs11734	RDhi10076	__na	__na	__na	cell_line	small-cell gastrointestinal carcinoma cell line:ECC4	__na	__na
10607	FF:10607-108F4	CNhs11818	RDhi10075	__na	__na	__na	cell_line	neuroblastoma cell line:NBsusSR	__na	__na
10606	FF:10606-108F3	CNhs11733	__na	__na	__na	__na	cell_line	embryonic pancreas cell line:1C3IKEI	__na	__na
10605	FF:10605-108F2	CNhs11732	__na	__na	__na	__na	cell_line	embryonic pancreas cell line:1C3D3	__na	__na
10604	FF:10604-108F1	CNhs11731	__na	__na	__na	__na	cell_line	embryonic pancreas cell line:1B2C6	__na	__na
10603	FF:10603-108E9	CNhs11814	__na	__na	__na	__na	cell_line	embryonic pancreas cell line:2C6	__na	__na
10600	FF:10600-108E6	CNhs11729	__na	__na	__na	__na	cell_line	myxofibrosarcoma cell line:MFH-ino	__na	__na
10597	FF:10597-108E3	CNhs11728	__na	__na	__na	__na	cell_line	Wilms' tumor cell line:HFWT	__na	__na
10593	FF:10593-108D8	CNhs12362	RDhi10074	__na	__na	__na	cell_line	testicular germ cell embryonal carcinoma cell line:NEC15	__na	__na
10591	FF:10591-108D6	CNhs12351	__na	__na	__na	__na	cell_line	testicular germ cell embryonal carcinoma cell line:NEC14	__na	__na
10590	FF:10590-108D5	CNhs11726	__na	__na	__na	__na	cell_line	testicular germ cell embryonal carcinoma cell line:NEC8	__na	__na
10589	FF:10589-108D4	CNhs11725	RDhi10073	__na	__na	__na	cell_line	argyrophil small cell carcinoma cell line:TC-YIK	__na	__na
10571	FF:10571-108B4	CNhs11724	__na	__na	__na	__na	cell_line	leiomyoma cell line:15425	__na	__na
10570	FF:10570-108B3	CNhs11723	__na	__na	__na	__na	cell_line	leiomyoma cell line:15242A	__na	__na
10569	FF:10569-108B2	CNhs11722	__na	__na	__na	__na	cell_line	leiomyoma cell line:10964C	__na	__na
10568	FF:10568-108B1	CNhs11718	__na	__na	__na	__na	cell_line	mesenchymal stem cell line:Hu5/E18	__na	__na
10563	FF:10563-108A5	CNhs11813	__na	__na	__na	__na	cell_line	xeroderma pigentosum b cell line:XPL 17	__na	__na
10562	FF:10562-108A4	CNhs11812	__na	__na	__na	__na	cell_line	small cell lung carcinoma cell line:WA-hT	__na	__na
10560	FF:10560-108A2	CNhs14241	__na	__na	__na	__na	cell_line	gastric cancer cell line:GSS	__na	__na
10558	FF:10558-107I9	CNhs11290	__na	__na	__na	__na	cell_line	osteosarcoma cell line:HS-Os-1	__na	__na
10555	FF:10555-107I6	CNhs11811	__na	__na	__na	__na	cell_line	neuroblastoma cell line:NH-12	__na	__na
10553	FF:10553-107I4	CNhs11289	__na	__na	__na	__na	cell_line	cervical cancer cell line:ME-180	__na	__na
10552	FF:10552-107I3	CNhs11288	__na	__na	__na	__na	cell_line	cervical cancer cell line:D98-AH2	__na	__na
10550	FF:10550-107I1	CNhs11287	__na	__na	__na	__na	cell_line	oral squamous cell carcinoma cell line:HO-1-u-1	__na	__na
10549	FF:10549-107H9	CNhs11286	__na	__na	__na	__na	cell_line	gastric cancer cell line:AZ521	__na	__na
10545	FF:10545-107H5	CNhs11717	__na	__na	__na	__na	cell_line	oral squamous cell carcinoma cell line:HSC-3	__na	__na
10544	FF:10544-107H4	CNhs11810	__na	__na	__na	__na	cell_line	oral squamous cell carcinoma cell line:SAS	__na	__na
10541	FF:10541-107H1	CNhs11285	RDhi10072	__na	__na	__na	cell_line	small cell lung carcinoma cell line:LK-2	__na	__na
10539	FF:10539-107G8	CNhs11284	__na	__na	__na	__na	cell_line	neuroblastoma cell line:NB-1	__na	__na
10536	FF:10536-107G5	CNhs11283	__na	__na	__na	__na	cell_line	cholangiocellular carcinoma cell line:HuH-28	__na	__na
10534	FF:10534-107G3	CNhs11282	__na	__na	__na	__na	cell_line	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	__na	__na
10514	FF:10514-107E1	CNhs11281	__na	__na	__na	__na	cell_line	melanoma cell line:COLO 679	__na	__na
10513	FF:10513-107D9	CNhs11280	__na	__na	__na	__na	cell_line	colon carcinoma cell line:CACO-2	__na	__na
10510	FF:10510-107D6	CNhs11279	__na	__na	__na	__na	cell_line	osteosarcoma cell line:143B/TK^(-)neo^(R)	__na	__na
10509	FF:10509-107D5	CNhs11277	__na	__na	__na	__na	cell_line	large cell lung carcinoma cell line:IA-LM	__na	__na
10508	FF:10508-107D4	CNhs11276	RDhi10071	__na	__na	__na	cell_line	neuroblastoma cell line:CHP-134	__na	__na
10501	FF:10501-107C6	CNhs14240	__na	__na	__na	__na	cell_line	squamous cell lung carcinoma cell line:RERF-LC-AI	__na	__na
10499	FF:10499-107C4	CNhs11275	__na	E114	__na	__na	cell_line	lung adenocarcinoma cell line:A549	A549 EtOH 0.02pct Lung Carcinoma Cell Line	__na
10497	FF:10497-107C2	CNhs11266	__na	__na	__na	__na	cell_line	endometrial carcinoma cell line:OMC-2	__na	__na
